"96879",\N,"2015-04-09",\N,"净值标 
											 	 				 ","101826","已还款","短期周转",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","31岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96952",\N,"2015-02-11",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励3%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96953",\N,"2015-02-11",\N,"45天提现标  
							 					 ","500000","已还款","到期奖励0.8%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96954",\N,"2015-02-11",\N,"短期借款，提现 
											 	 ","20000","已还款",\N,\N,"8.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96955",\N,"2015-02-10",\N,"短期借款，提现 
											 	 ","5000","已还款",\N,\N,"8.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96956",\N,"2015-02-10",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96957",\N,"2015-02-10",\N,"45天提现标  
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96958",\N,"2015-02-09",\N,"短期周转 
											 	 ","2015","已还款",\N,\N,"23.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","28岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96959",\N,"2015-02-09",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96960",\N,"2015-02-09",\N,"45天提现标  
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96961",\N,"2015-02-09",\N,"提现2000元 
											 	 ","2000","已还款",\N,\N,"23.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96962",\N,"2015-02-08",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96963",\N,"2015-02-08",\N,"45天提现标  
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96964",\N,"2015-02-07",\N,"90天提现标  
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96965",\N,"2015-02-07",\N,"45天提现标 
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96966",\N,"2015-02-06",\N,"1天超短送钱标 
											 	 ","5000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96967",\N,"2015-02-06",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96968",\N,"2015-02-06",\N,"45天提现标  
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96969",\N,"2015-02-05",\N,"90天提现标 
							 					 ","500000","已还款","到期奖励8.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96970",\N,"2015-02-05",\N,"45天提现标 
							 					 ","500000","已还款","到期奖励3.5%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96971",\N,"2015-02-04",\N,"2天短期标 
											 	 ","1111","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96972",\N,"2015-02-04",\N,"中安宝一月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息4%",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96973",\N,"2015-02-04",\N,"中安宝三月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息3.3%",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96974",\N,"2015-02-03",\N,"3天超短期 
											 	 ","5120","已还款",\N,\N,"20.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96975",\N,"2015-02-03",\N,"中安宝一月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息4% ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96976",\N,"2015-02-03",\N,"中安宝三月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息3.3% ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96977",\N,"2015-02-02",\N,"中安宝三月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息3.3% ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96978",\N,"2015-02-02",\N,"中安宝一月标 
							 					 			 ","300000","已还款","利润分配比例为客户固定月息4%",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96979",\N,"2015-02-01",\N,"中安宝三月标 
							 					 			 ","300000","已还款","月固定收益3.3%",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96980",\N,"2015-02-01",\N,"中安宝三月标 
							 					 			 ","300000","已还款","  `",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96981",\N,"2015-02-01",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96982",\N,"2015-01-31",\N,"中安宝三月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96983",\N,"2015-01-31",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96984",\N,"2015-01-30",\N,"1天标 
											 	 			 ","500","已还款","周转用",\N,"23.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"96985",\N,"2015-01-30",\N,"中安宝三月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96986",\N,"2015-01-30",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96987",\N,"2015-01-29",\N,"中安宝三月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96988",\N,"2015-01-29",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96989",\N,"2015-01-28",\N,"中安宝三月标  
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96990",\N,"2015-01-28",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96991",\N,"2015-01-28",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"96992",\N,"2015-01-27",\N,"中安宝三月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96993",\N,"2015-01-27",\N,"中安宝一月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96994",\N,"2015-01-27",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"96995",\N,"2015-01-26",\N,"中安宝一月标  
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96996",\N,"2015-01-26",\N,"中安宝一月标 
							 					 			 ","300000","已还款","  `",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"0.8%",\N
"96997",\N,"2015-01-26",\N,"中安宝三月标 
							 					 			 ","300000","已还款",\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"96998",\N,"2015-01-26",\N,"14天短期理财标 
							 					 ","300000","已还款"," 到期固定收益1.8% ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96999",\N,"2015-01-26",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97000",\N,"2015-01-27",\N,"7天标 
											 	 ","7000","已还款","。。。",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","45岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97001",\N,"2015-01-25",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
