"6179",\N,\N,\N,"102雷克萨斯抵押标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-05 08:50:19","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6180",\N,\N,\N,"101企业信用标三","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-04 08:41:15","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6181",\N,\N,\N,"100企业信用标二","150000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-01 22:45:58","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6182",\N,\N,\N,"099企业信用标","120000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-30 16:02:36","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6183",\N,\N,\N,"098信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-30 13:09:15","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6184",\N,\N,\N,"097信用担保标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-30 11:20:59","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6185",\N,\N,\N,"096信用担保标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-30 09:05:40","按月分期",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6186",\N,\N,\N,"095凯迪拉克抵押标二","120000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-30 09:03:47","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6187",\N,\N,\N,"4.30活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-30 08:45:24","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6188",\N,\N,\N,"094卡迪拉克抵押标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-29 08:44:58","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6189",\N,\N,\N,"4.29活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-29 08:38:36","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6190",\N,\N,\N,"093别克汽车抵押标","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-28 09:24:20","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6191",\N,\N,\N,"4.28活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-28 09:17:51","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6192",\N,\N,\N,"092信用担保标二","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-27 08:44:51","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6193",\N,\N,\N,"4.27活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-27 08:44:06","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6194",\N,\N,\N,"091信用担保标","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-25 09:21:48","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6195",\N,\N,\N,"090信用担保标","46857",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-25 08:53:01","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6196",\N,\N,\N,"4.25活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-25 08:51:41","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6197",\N,\N,\N,"089企业信用担保标二","90000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-24 08:53:06","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6198",\N,\N,\N,"4.24活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-24 08:52:09","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6199",\N,\N,\N,"088信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-23 09:21:31","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6200",\N,\N,\N,"087企业信用担保标一","90000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-23 08:57:33","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6201",\N,\N,\N,"4.23活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-23 08:43:37","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6202",\N,\N,\N,"086信用担保标","120000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-22 08:58:40","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6203",\N,\N,\N,"085本田抵押标二","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-22 08:56:52","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6204",\N,\N,\N,"4.22活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-22 08:55:52","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6205",\N,\N,\N,"084本田抵押标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-21 09:16:02","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6206",\N,\N,\N,"4.21活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-21 08:54:42","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6207",\N,\N,\N,"083信用担保标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-20 13:08:56","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6208",\N,\N,\N,"082信用担保标","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-20 09:09:13","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6209",\N,\N,\N,"4月20日活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-20 09:08:09","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6210",\N,\N,\N,"081丰田抵押标","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-18 09:01:33","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6211",\N,\N,\N,"080企业信用担保标二","90000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-18 08:47:20","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6212",\N,\N,\N,"4.18活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-18 08:46:07","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6213",\N,\N,\N,"079企业信用担保标一","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-17 10:28:03","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6214",\N,\N,\N,"078信用担保标","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-17 09:15:36","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6215",\N,\N,\N,"077本田抵押标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-17 08:50:55","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6216",\N,\N,\N,"4.17活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-17 08:49:10","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6217",\N,\N,\N,"076企业信用标二","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-16 09:03:19","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6218",\N,\N,\N,"4.16活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-16 09:01:26","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6219",\N,\N,\N,"075企业信用标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-15 09:09:23","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6220",\N,\N,\N,"4.15活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-15 09:06:07","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6221",\N,\N,\N,"074信用担保标","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-14 09:56:14","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6222",\N,\N,\N,"4.14活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-14 09:05:55","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6223",\N,\N,\N,"073奔驰抵押标二","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-13 10:14:06","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6224",\N,\N,\N,"072奔驰抵押标一","90000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-13 09:34:14","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6225",\N,\N,\N,"4.13活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-13 09:09:08","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6226",\N,\N,\N,"071企业信用标三","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-11 09:04:14","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6227",\N,\N,\N,"4.11活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-11 09:03:15","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6228",\N,\N,\N,"4.10活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-10 08:58:35","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6229",\N,\N,\N,"070企业信用标二","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-10 08:57:42","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6230",\N,\N,\N,"069企业信用标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-09 09:38:05","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6231",\N,\N,\N,"4.9活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-09 08:58:49","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6232",\N,\N,\N,"068大众抵押标二","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-08 09:01:43","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6233",\N,\N,\N,"4.8活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-08 09:00:32","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6234",\N,\N,\N,"067大众抵押标一","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-07 09:36:34","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6235",\N,\N,\N,"4.7活动7天标","70000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-07 09:30:27","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6236",\N,\N,\N,"066企业信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-03 15:36:44","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6237",\N,\N,\N,"065企业信用担保标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-03 15:36:07","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6238",\N,\N,\N,"064本田恩威抵押标二","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-03 09:55:18","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6239",\N,\N,\N,"4.3活动7天标","80000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-03 09:14:10","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6240",\N,\N,\N,"063汽车抵押标","40000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-02 17:17:37","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6241",\N,\N,\N,"062本田恩威抵押标一","70000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-02 09:52:37","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6242",\N,\N,\N,"4.2活动7天标","50000",\N,\N,"7天","18.00",\N,\N,\N,"2015-04-02 09:20:27","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例0.40%",\N
"6243",\N,\N,\N,"060信用担保标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-01 09:15:35","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6244",\N,\N,\N,"059长安抵押标","40000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-31 16:15:43","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6245",\N,\N,\N,"058信用抵押标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-31 08:46:22","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6246",\N,\N,\N,"057信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-30 09:09:55","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6247",\N,\N,\N,"056丰田抵押标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-28 09:52:07","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6248",\N,\N,\N,"055雷克萨斯抵押标二","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-28 08:39:46","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6249",\N,\N,\N,"054信用抵押标","120000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-27 18:19:49","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6250",\N,\N,\N,"053雷克萨斯抵押标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-27 09:41:34","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6251",\N,\N,\N,"052风神抵押标","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-26 15:23:54","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6252",\N,\N,\N,"051信用担保标","90000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-26 09:25:50","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6253",\N,\N,\N,"050宝马抵押标二","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-25 09:07:02","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6254",\N,\N,\N,"049宝马抵押标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-24 08:54:04","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6255",\N,\N,\N,"048信用担保标","100000",\N,\N,"2个月","18.00",\N,\N,\N,"2015-03-23 16:23:38","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.60%",\N
"6256",\N,\N,\N,"047信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-23 14:16:03","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6257",\N,\N,\N,"1.31活动10天标","100000",\N,\N,"10天","3.00",\N,\N,\N,"2015-01-31 09:19:46","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.00%",\N
"6258",\N,\N,\N,"005宝马抵押标三","50000",\N,\N,"45天","18.00",\N,\N,\N,"2015-01-24 09:36:07","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.00%",\N
"6259",\N,\N,\N,"3.4活动十天标","50000",\N,\N,"10天","3.00",\N,\N,\N,"2015-03-04 08:31:15","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.00%",\N
"6260",\N,\N,\N,"023江淮抵押标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-01 10:41:02","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6261",\N,\N,\N,"2.28活动秒标","88888",\N,\N,"额满即还","8.88",\N,\N,\N,"2015-02-28 08:41:59","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6262",\N,\N,\N,"027现代抵押标二","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-05 08:32:56","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6263",\N,\N,\N,"1.29活动待收秒标","32000",\N,\N,"额满即还","10.80",\N,\N,\N,"2015-01-29 09:15:50","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6264",\N,\N,\N,"3月1号活动秒标","88888",\N,\N,"额满即还","8.88",\N,\N,\N,"2015-03-01 09:02:09","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6265",\N,\N,\N,"1.22活动7天标","99996",\N,\N,"7天","3.00",\N,\N,\N,"2015-01-22 09:18:59","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.00%",\N
"6266",\N,\N,\N,"013宝马抵押标一","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-02-03 09:27:38","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
"6267",\N,\N,\N,"040宝马抵押标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-17 09:45:14","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6268",\N,\N,\N,"028福特抵押标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-05 12:57:31","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6269",\N,\N,\N,"019现代抵押标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-02-10 08:51:25","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
"6270",\N,\N,\N,"1.28活动待收秒标","75211",\N,\N,"额满即还","10.80",\N,\N,\N,"2015-01-28 09:17:15","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6271",\N,\N,\N,"1.26活动待收秒标","108888",\N,\N,"额满即还","10.80",\N,\N,\N,"2015-01-26 09:10:39","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6272",\N,\N,\N,"045凯迪拉克抵押标二","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-21 08:35:06","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6273",\N,\N,\N,"1.26活动10天标","100000",\N,\N,"10天","3.00",\N,\N,\N,"2015-01-26 09:12:27","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.00%",\N
"6274",\N,\N,\N,"008汽车抵押标一","50000",\N,\N,"45天","18.00",\N,\N,\N,"2015-01-28 09:19:00","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.00%",\N
"6275",\N,\N,\N,"024奥迪抵押标一","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-02 08:56:32","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6276",\N,\N,\N,"039信用担保标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-03-16 09:10:45","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6277",\N,\N,\N,"004宝马抵押标二","50000",\N,\N,"45天","18.00",\N,\N,\N,"2015-01-23 09:27:45","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.00%",\N
"6278",\N,\N,\N,"003宝马抵押标一","50000",\N,\N,"45天","18.00",\N,\N,\N,"2015-01-22 09:19:05","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.00%",\N
"6279",\N,\N,\N,"016宝马抵押标四","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-02-06 09:04:53","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
"6280",\N,\N,\N,"3.2活动秒标","88888",\N,\N,"额满即还","8.88",\N,\N,\N,"2015-03-02 08:58:54","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6281",\N,\N,\N,"020丰田抵押标一","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-02-28 10:07:43","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.80%",\N
"6282",\N,\N,\N,"1.24活动10天标","100000",\N,\N,"10天","3.00",\N,\N,\N,"2015-01-24 09:15:49","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.00%",\N
